party_id,name,name_ar,ideology,founded,leader_2021,leader_current,color,official_slogan
P026,PARTI ANNAHDA,,FILL,2006,,,#dbdb8d,
P027,PARTI DE LA RENAISSANCE ET DE LA VERTU,,FILL,2006,,,#9edae5,
P028,Parti Socialiste (PS),,FILL,2006,,,#ff9896,
P029,Parti Travailliste (PT),,FILL,2006,,,#9467bd,
P030,PARTI DE LA LIBERTE ET DE LA JUSTICE SOCIALE,,FILL,2004,,,#8c564b,
P031,PARTI MAROCAIN LIBERAL,,FILL,2002,,,#e377c2,
P032,PRE. Parti du Renouveau et de l'Equité,,FILL,2002,,,#7f7f7f,
P033,Alliance des Libertés (ADL),,FILL,2002,,,#2ca02c,
P034,Parti du Pacte (ALAHD),,FILL,2002,,,#d62728,
P035,Initiative Citoyenne pour le Développement (ICD),,FILL,2002,,,#1f77b4,
P036,Parti de l'Environnement et du Développement (PED),,FILL,2002,,,#ff7f0e,
P037,Gauche Socialiste Unifiée (GSU),,FILL,2002,,,#17becf,
P038,Parti Libéral Réformateur (PLR),,FILL,2002,,,#bcbd22,
P039,Parti de l'Alternative Civilisationnelle (PBH),,FILL,2002,,,#98df8a,
P040,PARTI DES FORCES CITOYENNES (P.F.C),,FILL,2001,,,#ffbb78,
P041,PARTI DE LA REFORME DU DEVELOPPEMENT (P.R.D),,FILL,2001,,,#c5b0d5,
P042,Union Démocratique (UD),,FILL,2001,,,#c49c94,
P043,PARTI AL AMAL,,FILL,1999,,,#f7b6d2,
P044,Parti Socialiste Démocratique (PSD),,FILL,1996,,,#dbdb8d,
P045,Parti de l'Unité et du Développement (PUD),,FILL,1992,,,#9edae5,
P046,Parti National des Verts pour le Développement (PVD),,FILL,1992,,,#ff9896,
P047,PARTI DE L'AVANT GARDE DEMOCRATIQUE ET SOCIALISTE (P.A.D.S),,FILL,1989,,,#aec7e8,
P048,Organisation de l'Action Démocratique Populaire (OADP),,FILL,1983,,,#e377c2,
P049,Parti de l'Union et de la Solidarité Nationale (PUSN),,FILL,1982,,,#7f7f7f,
P050,PARTI DU CENTRE SOCIAL (P.C.S),,FILL,1982,,,#2ca02c,
P051,Parti National Démocrate (PND),,FILL,1981,,,#d62728,
P052,PARTI DE L'ACTION (P.A),,FILL,1974,,,#1f77b4,
P053,Parti de la Libération et du Socialisme (PLS),,Historical (defunct),1969,,,#ff7f0e,
P054,Mouvement Populaire Démocratique et Constitutionnel (MPDC),,Historical (defunct),1967,,,#17becf,
P055,Parti Socialiste Démocrate (PSD),,Historical (defunct),1965,,,#bcbd22,
P056,Front de Défense des Institutions Constitutionnelles (FDIC),,Historical (defunct),1963,,,#98df8a,
P057,Parti Constitutionnel Démocratique (PCD),,Historical (defunct),1961,,,#ffbb78,
P058,Union Nationale des Forces Populaires (UNFP),,Historical (defunct),1959,,,#c5b0d5,
P059,PARTI DE LA CHOURA ET DE L'ISTIQLAL (P.C.I),,Historical (defunct),1946,,,#c49c94,
P060,Parti Communiste Marocain (PCM),,Historical (defunct),1945,,,#f7b6d2,
